ลำดับ,รหัสการประเมิน,ผู้ประเมิน / บทบาท,วันที่บันทึก,🎨 UX/UI Design (เต็ม 10),👤 บัญชีเดียว One Account (เต็ม 10),📋 Order & Live Queue (เต็ม 10),🏪 Merchant CRM (เต็ม 10),🛡️ Security & PDPA (เต็ม 10),คะแนนเฉลี่ยรวม (เต็ม 10.0),ข้อเสนอแนะเกี่ยวกับสถาปัตยกรรมระบบ
90,eval_kku_083,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะศึกษาศาสตร์)",2026-09-04,10,10,9.5,9.5,9.5,9.70,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
91,eval_kku_084,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะเกษตรศาสตร์)",2026-09-05,10,9.5,10,9.5,9.5,9.70,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
92,eval_kku_085,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะศึกษาศาสตร์)",2026-09-06,10,10,9.5,10,10,9.90,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
93,eval_kku_086,"นักศึกษาชั้นปีที่ 1 (คณะสถาปัตยกรรมศาสตร์)",2026-09-07,10,9.5,9.5,9.5,9.5,9.60,"ความปลอดภัยระบบดีมาก มีการตรวจสอบการแพ้อาหารก่อนสั่ง และรองรับ Dynamic QR Code จ่ายเงินสะดวก"
94,eval_kku_087,"นักศึกษาชั้นปีที่ 3 (คณะวิศวกรรมศาสตร์)",2026-09-08,10,10,9.5,9.5,9.5,9.70,"ระบบจัดการ Role ชัดเจนมาก ทั้ง Customer, Merchant และ Staff Supervisor แยกความปลอดภัยชัดเจน"
95,eval_kku_088,"นักศึกษาชั้นปีที่ 1 (คณะวิศวกรรมศาสตร์)",2026-09-09,9.5,10,10,9.5,10,9.80,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
96,eval_kku_089,"อาจารย์ / บุคลากร (คณะพยาบาลศาสตร์)",2026-09-10,9.5,9.5,9,10,10,9.60,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
97,eval_kku_090,"นักศึกษาชั้นปีที่ 1 (คณะสถาปัตยกรรมศาสตร์)",2026-09-11,10,9.5,10,10,9.5,9.80,"สถาปัตยกรรมระบบคิวแบบแยกสถานะทำได้ดีมาก หน้าจอ Live Queue อัปเดตสถานะอาหารตามจริง ไม่ดีเลย์"
98,eval_kku_091,"นักศึกษาชั้นปีที่ 4 (คณะวิศวกรรมศาสตร์)",2026-09-12,10,10,10,10,9.5,9.90,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
99,eval_kku_092,"นักศึกษาชั้นปีที่ 2 (คณะสถาปัตยกรรมศาสตร์)",2026-09-13,9.5,10,10,9.5,10,9.80,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
100,eval_kku_093,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก) (คณะศึกษาศาสตร์)",2026-09-14,10,10,10,10,10,10.00,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
101,eval_kku_094,"อาจารย์ / บุคลากร (คณะสถาปัตยกรรมศาสตร์)",2026-09-15,9.5,10,9.5,9.5,10,9.70,"ระบบ Pre-order คำนวณ Capacity ช่วงเวลา (Slot) ได้อย่างลงตัว ร้านค้าไม่โหลดเกินกำลัง"
102,eval_kku_095,"นักศึกษาชั้นปีที่ 1 (คณะบริหารธุรกิจและการบัญชี)",2026-09-16,9.5,10,10,10,10,9.90,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
103,eval_kku_096,"นักศึกษาชั้นปีที่ 1 (คณะศึกษาศาสตร์)",2026-09-01,9,10,9.5,9,10,9.50,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
104,eval_kku_097,"นักศึกษาชั้นปีที่ 4 (คณะพยาบาลศาสตร์)",2026-09-02,10,9.5,9.5,9.5,10,9.70,"ฐานข้อมูลตอบสนองเร็วแบบ Real-time สถานะออเดอร์จากครัวส่งตรงถึงมือถือลูกค้าทันที"
105,eval_kku_098,"นักศึกษาชั้นปีที่ 2 (คณะเภสัชศาสตร์)",2026-09-03,10,10,10,10,10,10.00,"การออกแบบสถาปัตยกรรมระบบ Dual-payment และ Role-Based Access Control ทำได้ตามมาตรฐานวิศวกรรมซอฟต์แวร์ที่ดี"
106,eval_kku_099,"นักศึกษาชั้นปีที่ 3 (คณะเกษตรศาสตร์)",2026-09-04,10,9.5,10,10,9.5,9.80,"ชอบระบบบัญชีเดียวที่มีสิทธิ์แยกชัดเจน และมีระบบแจ้งเตือนเสียงตอนอาหารเสร็จ สะดวกมาก"
107,eval_kku_100,"นักศึกษาชั้นปีที่ 2 (คณะศึกษาศาสตร์)",2026-09-05,9.5,9.5,9.5,10,10,9.70,"หน้าจอจัดการออเดอร์ของฝั่งร้านค้าใช้งานง่าย พ่อครัวดูคิวทำอาหารได้เป็นระเบียบ ไม่สับสนช่วงคนเยอะ"
