ลำดับ,รหัสแบบประเมิน,ชั้นปี / กลุ่มตัวอย่าง,คณะ / สังกัด,วันที่ประเมิน,ข้อ 1 (ความง่ายในการใช้งาน),ข้อ 2 (ระบบสมาชิก),ข้อ 3 (การค้นหา),ข้อ 4 (ข้อมูลเมนู),ข้อ 5 (ระบบคิวล่วงหน้า),ข้อ 6 (ความถูกต้องของคิว),ข้อ 7 (การแจ้งเตือน),ข้อ 8 (ความรวดเร็ว),ข้อ 9 (ความเสถียร),ข้อ 10 (ความปลอดภัย & PDPA),ข้อ 11 (ระบบชำระเงิน),ข้อ 12 (ประโยชน์การใช้งาน),ข้อ 13 (ความพึงพอใจโดยรวม),ข้อ 14 (ความตั้งใจใช้งานต่อ),ข้อ 15 (การบอกต่อแนะนำ),คะแนนเฉลี่ย (เต็ม 5.00),ร้อยละความพึงพอใจ (%),ระดับความพึงพอใจ,ข้อเสนอแนะเพิ่มเติม
67,survey_kku_061,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะทันตแพทยศาสตร์",2026-09-14,5,5,5,5,3,5,4,5,4,5,5,4,5,5,5,4.67,93.3,"มากที่สุด","ช่วงพักเที่ยงไม่ต้องรีบวิ่งมาจองโต๊ะจองคิวแล้ว กดสั่งล่วงหน้าตั้งแต่ตอนกำลังเดินมาถึง สบายมากครับ"
68,survey_kku_062,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-15,5,4,5,5,5,5,4,5,4,4,4,5,5,5,5,4.67,93.3,"มากที่สุด","ชอบระบบจองคิวล่วงหน้ามากครับ ช่วงพักเที่ยงโรงอาหารคอมแออัดมาก พอใช้ QueueUp ช่วยให้กะเวลาไปรับข้าวได้เป๊ะ ไม่ต้องไปยืนรอนาน"
69,survey_kku_063,"นักศึกษาชั้นปีที่ 1","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-16,4,5,5,4,5,5,5,5,5,5,4,5,5,5,3,4.67,93.3,"มากที่สุด","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
70,survey_kku_064,"นักศึกษาชั้นปีที่ 4","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-01,5,5,5,5,5,5,4,4,5,5,5,3,5,5,5,4.73,94.7,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
71,survey_kku_065,"นักศึกษาชั้นปีที่ 1","คณะแพทยศาสตร์",2026-09-02,5,5,4,4,5,5,5,4,5,5,3,3,5,5,5,4.53,90.7,"มากที่สุด","ระบบตัดบัตรคิวดิจิทัลแบบ Zero-Payment ไม่ยุ่งยากกับการตัดเงินก่อน ลดปัญหาเงินค้างเวลาออเดอร์มีปัญหาได้ดีมากครับ"
72,survey_kku_066,"นักศึกษาชั้นปีที่ 1","คณะพยาบาลศาสตร์",2026-09-03,5,4,4,4,4,5,4,4,5,4,5,5,4,5,5,4.47,89.3,"มาก","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
73,survey_kku_067,"นักศึกษาชั้นปีที่ 3","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-04,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,4.73,94.7,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
74,survey_kku_068,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-05,5,4,4,5,5,4,4,4,5,4,5,5,5,5,4,4.53,90.7,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
75,survey_kku_069,"นักศึกษาชั้นปีที่ 3","คณะแพทยศาสตร์",2026-09-06,4,5,5,3,5,5,5,4,5,4,5,5,5,5,5,4.67,93.3,"มากที่สุด","ช่วยประหยัดเวลาช่วงเที่ยงได้จริงค่ะ ปกติรอคิวเกือบ 20 นาที พอสั่งผ่านแอปได้กินภายใน 2-3 นาทีเลย"
76,survey_kku_07,"นักศึกษาชั้นปีที่ 2","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-05,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","ฟีเจอร์แจ้งเตือนการแพ้อาหารเป็นประโยชน์มากครับ ทำให้มั่นใจในความปลอดภัยเวลากดสั่งเมนูต่างๆ"
77,survey_kku_070,"นักศึกษาชั้นปีที่ 2","คณะสถาปัตยกรรมศาสตร์",2026-09-07,5,5,5,5,5,3,5,5,5,5,5,5,3,4,4,4.60,92.0,"มากที่สุด","UI สวยทันสมัยมาก ฟังก์ชันค้นหาแบบภาษาพูด 'อยากกินเผ็ดๆ' เจ๋งมาก เข้ากับพฤติกรรมเวลาคิดไม่ออกว่าจะกินอะไรดี"
78,survey_kku_071,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-08,4,5,4,3,5,5,5,5,5,3,5,5,5,5,5,4.60,92.0,"มากที่สุด","ระบบตัดบัตรคิวดิจิทัลแบบ Zero-Payment ไม่ยุ่งยากกับการตัดเงินก่อน ลดปัญหาเงินค้างเวลาออเดอร์มีปัญหาได้ดีมากครับ"
79,survey_kku_072,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-09,5,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4.80,96.0,"มากที่สุด","เมนูอาหารมีรูปประกอบและราคาชัดเจน สั่งอาหารง่ายกว่าเดิมเยอะมาก"
80,survey_kku_073,"นักศึกษาชั้นปีที่ 3","คณะศึกษาศาสตร์",2026-09-10,3,3,5,5,4,5,5,5,5,5,5,5,5,5,5,4.67,93.3,"มากที่สุด","ระบบออกบัตรคิวไวดีครับ อยากให้เพิ่มเมนูร้านน้ำและเครื่องดื่มในโรงอาหารเพิ่มอีกหลายๆ ร้านครับ"
81,survey_kku_074,"นักศึกษาชั้นปีที่ 4","คณะเทคโนโลยี",2026-09-11,4,5,5,5,4,5,5,5,5,4,5,5,5,5,4,4.73,94.7,"มากที่สุด","สเตตัสคิวเรียลไทม์ตรงกับที่จอครัวร้านค้าทำอาหารเลยครับ ทดสอบแล้วลื่นไหลดีมาก"
82,survey_kku_075,"นักศึกษาชั้นปีที่ 3","คณะศึกษาศาสตร์",2026-09-12,4,5,4,5,5,4,5,5,3,5,4,5,4,5,5,4.53,90.7,"มากที่สุด","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
83,survey_kku_076,"นักศึกษาชั้นปีที่ 2","คณะเทคโนโลยี",2026-09-13,5,3,5,5,5,5,5,5,5,3,5,5,5,5,5,4.73,94.7,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
84,survey_kku_077,"อาจารย์ / บุคลากร","คณะทันตแพทยศาสตร์",2026-09-14,5,5,4,5,5,5,5,5,4,4,5,5,4,5,5,4.73,94.7,"มากที่สุด","ลดการสัมผัสเงินสดและการยืนออหน้าเคาน์เตอร์ได้อย่างมีประสิทธิภาพ สอดคล้องกับโรงอาหารยุคใหม่"
85,survey_kku_078,"นักศึกษาชั้นปีที่ 4","คณะสถาปัตยกรรมศาสตร์",2026-09-15,5,4,5,5,5,5,5,4,5,5,5,5,5,5,4,4.80,96.0,"มากที่สุด","อยากให้เปิดใช้กับทุกโรงอาหารในมหาวิทยาลัยขอนแก่น ทั้งศูนย์อาหารคอมและศูนย์อาหารกังสดาลครับ"
86,survey_kku_079,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะเทคโนโลยี",2026-09-16,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
87,survey_kku_08,"นักศึกษาชั้นปีที่ 1","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-05,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,4.87,97.3,"มากที่สุด","ใช้งานง่ายมาก ไม่ต้องติดตั้งแอปเพิ่ม เปิดผ่านลิงก์เว็บเบราว์เซอร์ก็ใช้งานได้ทันที สะดวกสุดๆ"
88,survey_kku_080,"นักศึกษาชั้นปีที่ 4","คณะเภสัชศาสตร์",2026-09-01,5,5,4,5,5,5,5,4,3,5,5,3,5,4,5,4.53,90.7,"มากที่สุด","เมนูอาหารมีรูปประกอบและราคาชัดเจน สั่งอาหารง่ายกว่าเดิมเยอะมาก"
89,survey_kku_081,"นักศึกษาชั้นปีที่ 4","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-02,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5,4.80,96.0,"มากที่สุด","ระบบแจ้งเตือนแม่นยำมาก ไม่ต้องคอยเดินไปถามหน้าร้านว่าอาหารได้หรือยัง สะดวกสบายสุดๆ"
90,survey_kku_082,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมคอมพิวเตอร์",2026-09-03,5,4,3,5,5,5,5,5,4,4,5,4,5,4,4,4.47,89.3,"มาก","ระบบตัดบัตรคิวดิจิทัลแบบ Zero-Payment ไม่ยุ่งยากกับการตัดเงินก่อน ลดปัญหาเงินค้างเวลาออเดอร์มีปัญหาได้ดีมากครับ"
91,survey_kku_083,"ระดับบัณฑิตศึกษา (ป.โท/ป.เอก)","คณะสถาปัตยกรรมศาสตร์",2026-09-04,5,5,5,5,5,5,5,5,5,5,4,5,5,5,3,4.80,96.0,"มากที่สุด","แอปพลิเคชันสมบูรณ์แบบมากครับ จะแนะนำให้เพื่อนในสาขาและอาจารย์ดาวน์โหลดใช้งานแน่นอนครับ"
92,survey_kku_084,"นักศึกษาชั้นปีที่ 4","คณะบริหารธุรกิจและการบัญชี (KKBS)",2026-09-05,4,4,3,4,5,5,5,4,5,5,5,5,5,5,5,4.60,92.0,"มากที่สุด","ลดการสัมผัสเงินสดและการยืนออหน้าเคาน์เตอร์ได้อย่างมีประสิทธิภาพ สอดคล้องกับโรงอาหารยุคใหม่"
93,survey_kku_085,"นักศึกษาชั้นปีที่ 3","คณะมนุษยศาสตร์และสังคมศาสตร์",2026-09-06,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4.93,98.7,"มากที่สุด","ช่วยประหยัดเวลาช่วงเที่ยงได้จริงค่ะ ปกติรอคิวเกือบ 20 นาที พอสั่งผ่านแอปได้กินภายใน 2-3 นาทีเลย"
94,survey_kku_086,"นักศึกษาชั้นปีที่ 4","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-07,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4.93,98.7,"มากที่สุด","ช่วยประหยัดเวลาช่วงเที่ยงได้จริงค่ะ ปกติรอคิวเกือบ 20 นาที พอสั่งผ่านแอปได้กินภายใน 2-3 นาทีเลย"
95,survey_kku_087,"นักศึกษาชั้นปีที่ 3","คณะแพทยศาสตร์",2026-09-08,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4.87,97.3,"มากที่สุด","ลดการสัมผัสเงินสดและการยืนออหน้าเคาน์เตอร์ได้อย่างมีประสิทธิภาพ สอดคล้องกับโรงอาหารยุคใหม่"
96,survey_kku_088,"อาจารย์ / บุคลากร","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-09,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,4.73,94.7,"มากที่สุด","ฟีเจอร์ตัวกรองการแพ้อาหารดีมาก มีประโยชน์ต่อคนที่มีประวัติแพ้อาหารทะเลหรือถั่วมากค่ะ"
97,survey_kku_089,"นักศึกษาชั้นปีที่ 2","คณะพยาบาลศาสตร์",2026-09-10,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4.87,97.3,"มากที่สุด","ชอบตรงที่ไม่ต้องดาวน์โหลดแอปให้เปลืองพื้นที่มือถือ ล็อกอินผ่าน Google ครั้งเดียวจบ"
98,survey_kku_09,"นักศึกษาชั้นปีที่ 4","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-06,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4.93,98.7,"มากที่สุด","ตอบโจทย์ Pain Point ของเด็กมหาลัยช่วงพักเที่ยงได้ตรงจุดมาก แนะนำให้ส่งเข้าประกวดนวัตกรรมเลยครับ"
99,survey_kku_090,"นักศึกษาชั้นปีที่ 4","คณะวิทยาศาสตร์ สาขาสถิติและการวิเคราะห์ข้อมูล",2026-09-11,4,5,5,4,4,4,5,4,5,5,4,5,5,5,5,4.60,92.0,"มากที่สุด","สเตตัสคิวเรียลไทม์ตรงกับที่จอครัวร้านค้าทำอาหารเลยครับ ทดสอบแล้วลื่นไหลดีมาก"
100,survey_kku_091,"นักศึกษาชั้นปีที่ 3","คณะศึกษาศาสตร์",2026-09-12,5,5,5,5,5,5,4,5,5,4,3,5,5,5,5,4.73,94.7,"มากที่สุด","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
101,survey_kku_092,"นักศึกษาชั้นปีที่ 4","คณะเกษตรศาสตร์",2026-09-13,4,4,4,5,5,4,4,5,5,5,5,5,5,4,4,4.53,90.7,"มากที่สุด","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
102,survey_kku_093,"นักศึกษาชั้นปีที่ 3","วิทยาลัยการคอมพิวเตอร์ สาขาวิทยาการคอมพิวเตอร์",2026-09-14,5,5,4,5,5,5,5,3,4,5,4,5,4,5,5,4.60,92.0,"มากที่สุด","ระบบแจ้งเตือนแม่นยำมาก ไม่ต้องคอยเดินไปถามหน้าร้านว่าอาหารได้หรือยัง สะดวกสบายสุดๆ"
103,survey_kku_094,"นักศึกษาชั้นปีที่ 4","วิทยาลัยการคอมพิวเตอร์ สาขาเทคโนโลยีสารสนเทศ",2026-09-15,5,5,5,5,3,4,5,4,5,5,5,5,5,5,5,4.73,94.7,"มากที่สุด","ระบบไม่ค้าง โหลดหน้าเว็บเร็ว ใช้งานผ่าน Safari บน iPad และ Chrome บนมือถือได้เสถียรมาก"
104,survey_kku_095,"นักศึกษาชั้นปีที่ 4","คณะสถาปัตยกรรมศาสตร์",2026-09-16,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4.33,86.7,"มาก","แอปพลิเคชันสมบูรณ์แบบมากครับ จะแนะนำให้เพื่อนในสาขาและอาจารย์ดาวน์โหลดใช้งานแน่นอนครับ"
105,survey_kku_096,"นักศึกษาชั้นปีที่ 4","คณะแพทยศาสตร์",2026-09-01,5,5,5,4,5,5,5,5,5,4,4,5,4,4,4,4.60,92.0,"มากที่สุด","โดยรวมถือว่าตอบโจทย์ชีวิตเด็กหอแถวกังสดาลมากครับ ถ้าเชื่อมกับร้านค้ารอบรั้ว มข. ได้หมดจะดีมากเลย"
106,survey_kku_097,"นักศึกษาชั้นปีที่ 3","คณะแพทยศาสตร์",2026-09-02,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,4.87,97.3,"มากที่สุด","หน้าจอคิวบอกเวลาโดยประมาณได้ใกล้เคียงความจริงมาก ช่วยวางแผนเวลาพักเที่ยงได้ดีเยี่ยม"
107,survey_kku_098,"นักศึกษาชั้นปีที่ 3","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-03,5,5,5,5,5,4,4,5,5,4,5,4,4,5,5,4.67,93.3,"มากที่สุด","ลดการสัมผัสเงินสดและการยืนออหน้าเคาน์เตอร์ได้อย่างมีประสิทธิภาพ สอดคล้องกับโรงอาหารยุคใหม่"
108,survey_kku_099,"อาจารย์ / บุคลากร","คณะวิศวกรรมศาสตร์ สาขาวิศวกรรมไฟฟ้า",2026-09-04,5,5,5,5,5,5,4,4,5,4,5,5,5,5,3,4.67,93.3,"มากที่สุด","ชอบระบบจองคิวล่วงหน้ามากครับ ช่วงพักเที่ยงโรงอาหารคอมแออัดมาก พอใช้ QueueUp ช่วยให้กะเวลาไปรับข้าวได้เป๊ะ ไม่ต้องไปยืนรอนาน"
109,survey_kku_10,"นักศึกษาชั้นปีที่ 3","วิทยาลัยการคอมพิวเตอร์ สาขา AI",2026-09-06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.00,100.0,"มากที่สุด","ประทับใจความเร็วในการสั่งและติดตามคิวแบบ Real-time มาก ให้คะแนนเต็มทุกข้อเลยครับ"
110,survey_kku_100,"อาจารย์ / บุคลากร","คณะเทคโนโลยี",2026-09-05,4,3,4,4,5,5,4,4,3,5,5,4,5,5,5,4.33,86.7,"มาก","ใช้ง่ายมากค่ะ ล็อกอินสะดวกรวดเร็ว ระบบแจ้งเตือนเสียง Chime ตอนอาหารพร้อมรับทำให้ไม่ต้องคอยเปิดจอมือถือดูตลอดเวลา"
